Indicator.,CountryCode,Country,Representativeness.,Representativeness name,Area covered,Date,Begin month,Begin year,End month,End year,Population,Gender,Age unit,Age from,Age to,Sample size,Indicator unit,Mean,Geo mean,Median,SD,SE,L95CI,U95CI,Deficiency cut-off,Deficiency prevalence,Insufficiency cut-off,Insufficiency prevalence,Sample collection method,Sample type,Fasting,Method of analysis,General data comments,Indicator comments,Survey methodology,Season,Old Reference no# 1,Reference no# 1,Reference 1,Link to reference 1,Old Reference no# 2,Reference no# 2,Reference 2,Link to reference 2,Old Reference no# 3,Reference no# 3,Reference 3,Link to reference 3,SurveyId,Survey status
25-Hydroxyvitamin D,KHM,Cambodia,national,,both urban and rural,2014,6,2014,12,2014,Preschool-age children,All,Month,6,71,775,,,,,,,,,<50 nmol/L,15.3,<70 nmol/L,33.1,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,Upper bound of age range approximated (is 60+ months; included children born after January 2009 and survey conducted June-December 2014),Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,both urban and rural,2014,6,2014,12,2014,Preschool-age children,All,Month,12,23,105,,,,,,,,,<50 nmol/L,12.9,<70 nmol/L,27.4,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,,Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,both urban and rural,2014,6,2014,12,2014,Preschool-age children,All,Month,24,59,486,,,,,,,,,<50 nmol/L,14.8,<70 nmol/L,34.9,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,,Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,both urban and rural,2014,6,2014,12,2014,Preschool-age children,All,Month,60,71,138,,,,,,,,,<50 nmol/L,21.2,<70 nmol/L,39.5,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,Upper bound of age range approximated (is 60+ months; included children born after January 2009 and survey conducted June-December 2014),Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,both urban and rural,2014,6,2014,12,2014,Women of reproductive age,Female,Year,15,49,739,,,,,,,,,<50 nmol/L,30.9,<70 nmol/L,59.9,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,,Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,rural,2014,6,2014,12,2014,Preschool-age children,All,Month,6,71,688,,,,,,,,,<50 nmol/L,15,<70 nmol/L,32.7,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,Upper bound of age range approximated (is 60+ months; included children born after January 2009 and survey conducted June-December 2014),Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,rural,2014,6,2014,12,2014,Women of reproductive age,Female,Year,15,49,643,,,,,,,,,<50 nmol/L,31.6,<70 nmol/L,61.1,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,,Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,urban,2014,6,2014,12,2014,Preschool-age children,All,Month,6,71,87,,,,,,,,,<50 nmol/L,17.9,<70 nmol/L,36.7,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,Upper bound of age range approximated (is 60+ months; included children born after January 2009 and survey conducted June-December 2014),Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,KHM,Cambodia,national,,urban,2014,6,2014,12,2014,Women of reproductive age,Female,Year,15,49,96,,,,,,,,,<50 nmol/L,26.6,<70 nmol/L,51.5,Venipuncture,Blood plasma,Casual,Electro-chemiluminescence,,Plasma 25-hydroxy vitamin D3 assessed using electrochemiluminescence immunoassay with a Cobas system.,"Survey representative at the national level, as well as separately for urban and rural areas of the country and for each of the 19 sampling domains. Usual residents of the selected households or visitors present in the household on the night before the survey were eligible.",Not specified,,927,"National Institute of Statistics, Directorate General for Health, ICF International. Cambodia Demographic and Health Survey 2014. Phnom Penh: National Institute of Statistics, Directorate General for Health; 2015.",https://dhsprogram.com/pubs/pdf/FR312/FR312.pdf,,1062,"Wieringa FT, Dahl M, Chamnan C, Poirot E, Kuong K, Sophonneary P, et al. The high prevalence of anemia in Cambodian children and women cannot be satisfactorily explained by nutritional deficiencies or hemoglobin disorders. Nutrients. 2016;8. pii: E348. doi: 10.3390/nu8060348.",http://www.mdpi.com/2072-6643/8/6/348,,1152,"Laillou A, Sophonneary P, Khov K, Hong R, Un S, Chamnan C et al. Low urinary iodine concentration among mothers and children in Cambodia. Nutrients. 2016; 8:172-83.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4848647/pdf/nutrients-08-00172.pdf,10418,verified
25-Hydroxyvitamin D,MEX,Mexico,national,,both urban and rural,2012,,2012,,2012,Women of reproductive age,Female,Year,20,49,4162,nmol/L,56.7,,,,,55.7,57.8,<50 nmol/L,36.8,50-74 nmol/L,49.8,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,,"Serum 25-hydroxyvitamin-D (25-OH-D) measured by a microparticles chemiluminescence technique using a commercial kits (Abbot) in an Architect CI8200 automatic analyzer (Abbott Lab, Michigan, III USA). Definition of vitamin D status based on that by Heaney and Holick.","Representative at national, regional, urban and rural levels.  Oversampled households with the greatest needs in the country (those of greater vulnerability).",Not specified,,892,"Gutiérrez JP, Rivera-Dommarco J, Shamah-Levy T, Villalpando-Hernández S, Franco A, Cuevas-Nasu L et al. Encuesta Nacional de Salud y Nutrición 2012. Resultados Nacionales [National Health and Nutrition Examination Survey 2012. National results]. Cuernavaca: Instituto Nacional de Salud Pública; 2012 (in Spanish).",http://ensanut.insp.mx/informes/ENSANUT2012ResultadosNacionales.pdf,,901,"Villalpando S, Cruz Vde L, Shamah-Levy T, Rebollar R, Contreras-Manzano A. Nutritional status of iron, vitamin B12, folate, retinol and anemia in children 1 to 11 years old: Results of the Ensanut 2012. Salud Publica Mex. 2015;57:372-84.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a8.pdf,,902,"Shamah-Levy T, Villalpando S, Mejía-Rodríguez F, Cuevas-Nasu L, Gaona-Pineda EB, Rangel-Baltazar E et al. Prevalence of iron, folate, and vitamin B12 deficiencies in 20 to 49 years old women: Ensanut 2012. Salud Publica Mex. 2015;57:385-93.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a9.pdf,10852,verified
25-Hydroxyvitamin D,MEX,Mexico,national,,rural,2012,,2012,,2012,Women of reproductive age,Female,Year,20,49,,nmol/L,62.2,,,,,60.6,63.7,<50 nmol/L,25.1,50-74 nmol/L,53.7,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,,"Serum 25-hydroxyvitamin-D (25-OH-D) measured by a microparticles chemiluminescence technique using a commercial kits (Abbot) in an Architect CI8200 automatic analyzer (Abbott Lab, Michigan, III USA). Definition of vitamin D status based on that by Heaney and Holick.","Representative at national, regional, urban and rural levels.  Oversampled households with the greatest needs in the country (those of greater vulnerability).",Not specified,,892,"Gutiérrez JP, Rivera-Dommarco J, Shamah-Levy T, Villalpando-Hernández S, Franco A, Cuevas-Nasu L et al. Encuesta Nacional de Salud y Nutrición 2012. Resultados Nacionales [National Health and Nutrition Examination Survey 2012. National results]. Cuernavaca: Instituto Nacional de Salud Pública; 2012 (in Spanish).",http://ensanut.insp.mx/informes/ENSANUT2012ResultadosNacionales.pdf,,901,"Villalpando S, Cruz Vde L, Shamah-Levy T, Rebollar R, Contreras-Manzano A. Nutritional status of iron, vitamin B12, folate, retinol and anemia in children 1 to 11 years old: Results of the Ensanut 2012. Salud Publica Mex. 2015;57:372-84.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a8.pdf,,902,"Shamah-Levy T, Villalpando S, Mejía-Rodríguez F, Cuevas-Nasu L, Gaona-Pineda EB, Rangel-Baltazar E et al. Prevalence of iron, folate, and vitamin B12 deficiencies in 20 to 49 years old women: Ensanut 2012. Salud Publica Mex. 2015;57:385-93.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a9.pdf,10852,verified
25-Hydroxyvitamin D,MEX,Mexico,national,,urban,2012,,2012,,2012,Women of reproductive age,Female,Year,20,49,,nmol/L,55.2,,,,,53.9,56.5,<50 nmol/L,40.2,50-74 nmol/L,48.7,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,,"Serum 25-hydroxyvitamin-D (25-OH-D) measured by a microparticles chemiluminescence technique using a commercial kits (Abbot) in an Architect CI8200 automatic analyzer (Abbott Lab, Michigan, III USA). Definition of vitamin D status based on that by Heaney and Holick.","Representative at national, regional, urban and rural levels.  Oversampled households with the greatest needs in the country (those of greater vulnerability).",Not specified,,892,"Gutiérrez JP, Rivera-Dommarco J, Shamah-Levy T, Villalpando-Hernández S, Franco A, Cuevas-Nasu L et al. Encuesta Nacional de Salud y Nutrición 2012. Resultados Nacionales [National Health and Nutrition Examination Survey 2012. National results]. Cuernavaca: Instituto Nacional de Salud Pública; 2012 (in Spanish).",http://ensanut.insp.mx/informes/ENSANUT2012ResultadosNacionales.pdf,,901,"Villalpando S, Cruz Vde L, Shamah-Levy T, Rebollar R, Contreras-Manzano A. Nutritional status of iron, vitamin B12, folate, retinol and anemia in children 1 to 11 years old: Results of the Ensanut 2012. Salud Publica Mex. 2015;57:372-84.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a8.pdf,,902,"Shamah-Levy T, Villalpando S, Mejía-Rodríguez F, Cuevas-Nasu L, Gaona-Pineda EB, Rangel-Baltazar E et al. Prevalence of iron, folate, and vitamin B12 deficiencies in 20 to 49 years old women: Ensanut 2012. Salud Publica Mex. 2015;57:385-93.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a9.pdf,10852,verified
25-Hydroxyvitamin D,MEX,Mexico,regional (within country),Centro,both urban and rural,2012,,2012,,2012,Women of reproductive age,Female,Year,20,49,,nmol/L,53,,,,,51.2,54.7,<50 nmol/L,46.3,50-74 nmol/L,45,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,,"Serum 25-hydroxyvitamin-D (25-OH-D) measured by a microparticles chemiluminescence technique using a commercial kits (Abbot) in an Architect CI8200 automatic analyzer (Abbott Lab, Michigan, III USA). Definition of vitamin D status based on that by Heaney and Holick.","Representative at national, regional, urban and rural levels.  Oversampled households with the greatest needs in the country (those of greater vulnerability).",Not specified,,892,"Gutiérrez JP, Rivera-Dommarco J, Shamah-Levy T, Villalpando-Hernández S, Franco A, Cuevas-Nasu L et al. Encuesta Nacional de Salud y Nutrición 2012. Resultados Nacionales [National Health and Nutrition Examination Survey 2012. National results]. Cuernavaca: Instituto Nacional de Salud Pública; 2012 (in Spanish).",http://ensanut.insp.mx/informes/ENSANUT2012ResultadosNacionales.pdf,,901,"Villalpando S, Cruz Vde L, Shamah-Levy T, Rebollar R, Contreras-Manzano A. Nutritional status of iron, vitamin B12, folate, retinol and anemia in children 1 to 11 years old: Results of the Ensanut 2012. Salud Publica Mex. 2015;57:372-84.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a8.pdf,,902,"Shamah-Levy T, Villalpando S, Mejía-Rodríguez F, Cuevas-Nasu L, Gaona-Pineda EB, Rangel-Baltazar E et al. Prevalence of iron, folate, and vitamin B12 deficiencies in 20 to 49 years old women: Ensanut 2012. Salud Publica Mex. 2015;57:385-93.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a9.pdf,10852,verified
25-Hydroxyvitamin D,MEX,Mexico,regional (within country),Norte,both urban and rural,2012,,2012,,2012,Women of reproductive age,Female,Year,20,49,,nmol/L,57.6,,,,,56,59.1,<50 nmol/L,31.7,50-74 nmol/L,55.6,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,,"Serum 25-hydroxyvitamin-D (25-OH-D) measured by a microparticles chemiluminescence technique using a commercial kits (Abbot) in an Architect CI8200 automatic analyzer (Abbott Lab, Michigan, III USA). Definition of vitamin D status based on that by Heaney and Holick.","Representative at national, regional, urban and rural levels.  Oversampled households with the greatest needs in the country (those of greater vulnerability).",Not specified,,892,"Gutiérrez JP, Rivera-Dommarco J, Shamah-Levy T, Villalpando-Hernández S, Franco A, Cuevas-Nasu L et al. Encuesta Nacional de Salud y Nutrición 2012. Resultados Nacionales [National Health and Nutrition Examination Survey 2012. National results]. Cuernavaca: Instituto Nacional de Salud Pública; 2012 (in Spanish).",http://ensanut.insp.mx/informes/ENSANUT2012ResultadosNacionales.pdf,,901,"Villalpando S, Cruz Vde L, Shamah-Levy T, Rebollar R, Contreras-Manzano A. Nutritional status of iron, vitamin B12, folate, retinol and anemia in children 1 to 11 years old: Results of the Ensanut 2012. Salud Publica Mex. 2015;57:372-84.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a8.pdf,,902,"Shamah-Levy T, Villalpando S, Mejía-Rodríguez F, Cuevas-Nasu L, Gaona-Pineda EB, Rangel-Baltazar E et al. Prevalence of iron, folate, and vitamin B12 deficiencies in 20 to 49 years old women: Ensanut 2012. Salud Publica Mex. 2015;57:385-93.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a9.pdf,10852,verified
25-Hydroxyvitamin D,MEX,Mexico,regional (within country),Sur,both urban and rural,2012,,2012,,2012,Women of reproductive age,Female,Year,20,49,,nmol/L,61.9,,,,,60.3,63.4,<50 nmol/L,25.9,50-74 nmol/L,53.5,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,,"Serum 25-hydroxyvitamin-D (25-OH-D) measured by a microparticles chemiluminescence technique using a commercial kits (Abbot) in an Architect CI8200 automatic analyzer (Abbott Lab, Michigan, III USA). Definition of vitamin D status based on that by Heaney and Holick.","Representative at national, regional, urban and rural levels.  Oversampled households with the greatest needs in the country (those of greater vulnerability).",Not specified,,892,"Gutiérrez JP, Rivera-Dommarco J, Shamah-Levy T, Villalpando-Hernández S, Franco A, Cuevas-Nasu L et al. Encuesta Nacional de Salud y Nutrición 2012. Resultados Nacionales [National Health and Nutrition Examination Survey 2012. National results]. Cuernavaca: Instituto Nacional de Salud Pública; 2012 (in Spanish).",http://ensanut.insp.mx/informes/ENSANUT2012ResultadosNacionales.pdf,,901,"Villalpando S, Cruz Vde L, Shamah-Levy T, Rebollar R, Contreras-Manzano A. Nutritional status of iron, vitamin B12, folate, retinol and anemia in children 1 to 11 years old: Results of the Ensanut 2012. Salud Publica Mex. 2015;57:372-84.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a8.pdf,,902,"Shamah-Levy T, Villalpando S, Mejía-Rodríguez F, Cuevas-Nasu L, Gaona-Pineda EB, Rangel-Baltazar E et al. Prevalence of iron, folate, and vitamin B12 deficiencies in 20 to 49 years old women: Ensanut 2012. Salud Publica Mex. 2015;57:385-93.",http://www.scielosp.org/pdf/spm/v57n5/v57n5a9.pdf,10852,verified
25-Hydroxyvitamin D,MNG,Mongolia,1st administration level,Ulaanbaatar,both urban and rural,2004,5,2004,6,2004,Non-pregnant women (NPW),Female,Year,15,49,118,,,,,,,,,<18 nmol/L,33.3,<25 nmol/L,33.3,Venipuncture,Blood serum,Not known,Other,,Serum 25-OH-D assessed using ferment immune method microboard. Survey conducted in Spring/Summer.,"Survey representing four geographical regions, as well as both urban and rural children and women. 60 clusters were randomly selected from a total of 342 clusters using the 2002 population census. This clusters represented 20 aimags outside Ulaambaatar City and eight districts within Ulaanbaatar City,",Summer,5655,338,"Nutrition Research Center (NRC), UNICEF, Mongolia Ministry of Health. Nutritional status of Mongolian children and women. Third National Nutrition Survey report. Ulaanbaatar:  Ministry of Health; 2006.",http://moh.mn/moh%20db/healthreports.nsf/32fe9f3e7452a6f3c8256d1b0013e24e/e03e77e7bb1f0491c825722e00132164/$FILE/Final%20english%20version%20of%20Mongolian%20NNS3%20report.pdf,,,,,,,,,10299,verified
25-Hydroxyvitamin D,MNG,Mongolia,1st administration level,Ulaanbaatar,both urban and rural,2004,5,2004,6,2004,Preschool-age children,All,Month,6,59,116,,,,,,,,,,,<25 nmol/L,40.5,Venipuncture,Blood serum,Not known,Other,,Serum 25-OH-D assessed using ferment immune method microboard. Survey conducted in Spring/Summer.,"Survey representing four geographical regions, as well as both urban and rural children and women. 60 clusters were randomly selected from a total of 342 clusters using the 2002 population census. This clusters represented 20 aimags outside Ulaambaatar City and eight districts within Ulaanbaatar City,",Summer,5655,338,"Nutrition Research Center (NRC), UNICEF, Mongolia Ministry of Health. Nutritional status of Mongolian children and women. Third National Nutrition Survey report. Ulaanbaatar:  Ministry of Health; 2006.",http://moh.mn/moh%20db/healthreports.nsf/32fe9f3e7452a6f3c8256d1b0013e24e/e03e77e7bb1f0491c825722e00132164/$FILE/Final%20english%20version%20of%20Mongolian%20NNS3%20report.pdf,,,,,,,,,10299,verified
25-Hydroxyvitamin D,MNG,Mongolia,1st administration level,Ulaanbaatar,urban,2010,7,2010,9,2010,Non-pregnant women (NPW),Female,Year,15,49,174,,,,,,,,,<18 nmol/L,29.3,18-23 nmol/L,20.7,Venipuncture,Blood serum,Not known,"Enzyme-linked immunoassay (EIA, ELISA)",,25-OH-D assessed by double-antibody sandwich ELISA using Immuno Mini NJ-2300 microplate reader at 450 nm. Measured in children 6-59 mo and WRA.,"Nationwide survey in 4 economic regions of the country and Ulaanbaatar city. Survey conducted during the warm season only. Sampling based on local population registry; thus, limiting the opportunity for unregistered households to participate.",Summer,,71,"Nutrition status of Mongolian population. Fourth National Nutrition Survey report. Ulaanbaatar: Public Health Institute, Nutrition Research Centre; 2011.",,,,,,,,,,10061,verified
25-Hydroxyvitamin D,MNG,Mongolia,1st administration level,Ulaanbaatar,urban,2010,7,2010,9,2010,Preschool-age children,All,Month,6,59,94,,,,,,,,,<18 nmol/L,28.7,18-23 nmol/L,21.3,Venipuncture,Blood serum,Not known,"Enzyme-linked immunoassay (EIA, ELISA)",Sample size estimated from number affected and prevalence,25-OH-D assessed by double-antibody sandwich ELISA using Immuno Mini NJ-2300 microplate reader at 450 nm. Measured in children 6-59 mo and WRA.,"Nationwide survey in 4 economic regions of the country and Ulaanbaatar city. Survey conducted during the warm season only. Sampling based on local population registry; thus, limiting the opportunity for unregistered households to participate.",Summer,,71,"Nutrition status of Mongolian population. Fourth National Nutrition Survey report. Ulaanbaatar: Public Health Institute, Nutrition Research Centre; 2011.",,,,,,,,,,10061,verified
25-Hydroxyvitamin D,MNG,Mongolia,national,,both urban and rural,2004,5,2004,6,2004,Non-pregnant women (NPW),Female,Year,15,19,35,,,,,,,,,<18 nmol/L,80,,,Venipuncture,Blood serum,Not known,Other,,Serum 25-OH-D assessed using ferment immune method microboard. Survey conducted in Spring/Summer.,"Survey representing four geographical regions, as well as both urban and rural children and women. 60 clusters were randomly selected from a total of 342 clusters using the 2002 population census. This clusters represented 20 aimags outside Ulaambaatar City and eight districts within Ulaanbaatar City,",Summer,5655,338,"Nutrition Research Center (NRC), UNICEF, Mongolia Ministry of Health. Nutritional status of Mongolian children and women. Third National Nutrition Survey report. Ulaanbaatar:  Ministry of Health; 2006.",http://moh.mn/moh%20db/healthreports.nsf/32fe9f3e7452a6f3c8256d1b0013e24e/e03e77e7bb1f0491c825722e00132164/$FILE/Final%20english%20version%20of%20Mongolian%20NNS3%20report.pdf,,,,,,,,,10299,verified
